Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
Scotland,S12000047,-,S01009359,Masterton North,0.37,0.12,3,47837,1,2,0.02,1,180700,1,18944,74,1,1,1134,16981,11256
Scotland,S12000047,-,S01009360,Pitbauchlie and Pitcorthie North West,0.33,0.25,4,32198,1,2,0.04,1,175000,1,29760,80,0,1,993,15166,10052
Scotland,S12000047,-,S01009361,Pitreavie,0.33,0.28,4,30824,1,1,0.05,1,169000,1,22750,91,1,1,904,15647,10371
Scotland,S12000047,-,S01009362,Pitcorthie West,0.33,0.27,4,32928,1,1,0.03,1,151074,1,19314,74,1,1,1227,14517,9622
Scotland,S12000047,-,S01009363,Rosyth Camdean,0.37,0.23,3,27361,1,3,0.12,1,117500,1,18224,68,1,1,885,12985,8607
Scotland,S12000047,-,S01009364,Dunfermline Business Park,0.45,0.15,3,35267,1,3,0.05,1,135000,1,14013,81,1,1,1097,12654,8387
Scotland,S12000047,-,S01009365,Pattiesmuir,0.41,0.20,3,25541,1,3,0.07,1,82500,1,19176,68,0,1,662,13105,8686
Scotland,S12000047,-,S01009366,Rosyth Kings North,0.40,0.20,3,26177,1,1,0.10,1,104500,1,21336,84,1,1,688,16349,10837
Scotland,S12000047,-,S01009367,Admiralty North,0.41,0.18,3,25971,1,3,0.08,1,97500,1,15812,67,1,1,658,13942,9241
Scotland,S12000047,-,S01009368,Rosyth Wilderness East,0.40,0.18,3,35051,2,1,0.09,1,90550,1,18785,85,1,1,595,10873,7207
Scotland,S12000047,-,S01009369,Rosyth Kings East,0.46,0.16,4,28567,1,3,0.07,1,110000,1,18836,68,1,1,684,13215,8759
Scotland,S12000047,-,S01009370,Rosyth Wilderness North,0.34,0.29,3,27947,1,1,0.11,1,112500,1,15984,72,1,1,926,14092,9341
Scotland,S12000047,-,S01009371,Admiralty North East,0.42,0.16,4,26303,1,3,0.08,1,101879,1,16709,77,1,1,614,13139,8709
Scotland,S12000047,-,S01009372,Admiralty Central,0.31,0.23,4,29613,1,3,0.07,1,92000,1,21280,80,1,1,506,11507,7627
Scotland,S12000047,-,S01009373,Rosyth Kings South,0.40,0.14,3,24677,1,3,0.14,1,90000,1,19108,68,1,1,707,12936,8574
Scotland,S12000047,-,S01009374,Admiralty South West,0.33,0.27,3,23572,2,3,0.13,1,104250,1,10179,39,0,1,867,13646,9045
Scotland,S12000047,-,S01009375,Admiralty South East,0.41,0.18,3,27261,1,3,0.12,1,103134,1,17640,70,1,1,818,14662,9718
Scotland,S12000047,-,S01009376,Admiralty South,0.32,0.28,3,25208,2,3,0.13,1,196500,1,21014,79,0,1,491,12255,8123
Scotland,S12000047,-,S01009377,Rosyth Dockyard and Castle,0.52,0.09,3,55824,1,1,0.03,1,92000,1,20251,77,1,1,1421,16724,11085
Scotland,S12000047,-,S01009378,Rosyth Pease Hill East,0.48,0.13,4,33029,2,3,0.08,1,81500,1,13904,79,1,1,1097,15323,10157
Scotland,S12000047,-,S01009379,Rosyth Pease Hill North,0.50,0.07,3,44302,1,2,0.05,1,171250,1,12506,74,1,1,1231,17628,11685
Scotland,S12000047,-,S01009380,Rosyth Pease Hill South,0.37,0.15,4,42533,1,1,0.10,1,90550,1,20097,87,1,1,762,16683,11058
Scotland,S12000047,-,S01009381,Inverkeithing Belleknowes,0.38,0.17,3,35920,1,3,0.04,1,116276,1,18900,63,1,1,759,16797,11133
Scotland,S12000047,-,S01009382,Inverkeithing West,0.38,0.20,4,24984,1,3,0.10,1,92500,1,19536,88,1,1,755,13422,8897
Scotland,S12000047,-,S01009383,Inverkeithing Jamestown,0.35,0.18,4,23554,1,3,0.10,1,85150,1,24048,72,1,1,770,14548,9643
Scotland,S12000047,-,S01009384,North Queensferry,0.29,0.25,4,39576,1,2,0.03,2,290135,1,21576,124,1,1,184,20612,4122
Scotland,S12000047,-,S01009385,North Queensferry Ferryhills,0.32,0.25,3,34988,1,1,0.04,2,122500,1,16985,79,0,1,149,15706,3141
Scotland,S12000047,-,S01009386,Inverkeithing Spencerfield North,0.40,0.22,3,28057,1,3,0.09,1,95000,1,19140,87,1,1,718,14852,9844
Scotland,S12000047,-,S01009387,Inverkeithing Spencerfield South,0.47,0.14,2,27250,1,3,0.09,1,95000,1,22599,93,1,1,528,15058,9981
Scotland,S12000047,-,S01009388,Inverkeithing Spittalfield,0.47,0.12,3,25285,2,1,0.18,1,99750,1,17840,80,1,1,703,14399,9544
Scotland,S12000047,-,S01009389,Inverkeithing North East,0.34,0.26,3,27136,1,1,0.07,1,78000,1,25680,80,1,1,974,14940,9902
